feature,train_mean,test_mean,train_std,test_std,mean_shift_abs,psi
feature_6,-2.6645352591003756e-17,-0.027373112013154975,1.0,0.959411492836701,0.027373112013154947,0.045345091579563554
feature_0,-1.3322676295501878e-17,-0.09710182632280262,1.0000000000000002,1.066542684402243,0.0971018263228026,0.032314441431675965
feature_5,-2.6645352591003756e-17,-0.020035920985157038,1.0000000000000007,0.973999040533816,0.02003592098515701,0.028265290419321444
feature_4,-6.661338147750939e-18,-0.04528890967531619,1.0000000000000004,1.0203320431315215,0.04528890967531618,0.026237738622352867
feature_3,6.217248937900877e-17,0.048019930545302056,1.0000000000000002,0.9579006657262701,0.04801993054530199,0.02425454455797746
feature_1,-2.2204460492503132e-17,0.08570162894598728,1.0,0.9706366171027475,0.0857016289459873,0.023833122115167825
feature_10,-3.1086244689504386e-17,0.008738249392385428,1.0000000000000004,1.0533443674333394,0.00873824939238546,0.022591619145689
feature_7,-8.881784197001253e-18,-0.03820338170877104,1.0,0.9399286087226824,0.038203381708771036,0.021545103483039996
feature_11,3.3306690738754695e-17,0.028203534321063622,0.9999999999999997,0.9653229278959181,0.028203534321063588,0.019344828112238657
feature_9,-2.220446049250313e-18,-0.03857832403930848,1.0000000000000002,1.0293527618521385,0.03857832403930848,0.016851494702301767
feature_2,-7.549516567451065e-17,0.0323476854215707,1.0000000000000004,1.046888635644909,0.03234768542157078,0.015786268087943273
feature_8,-8.881784197001253e-18,0.03859167530365058,0.9999999999999998,1.010982045593764,0.03859167530365059,0.015640386102169942
